clean_message,actual,predicted
jika banyak perangkat yang terhubung pada modem apakah akan berpengaruh pada speed yang didapatkan,Information,Information
ada hbo,Information,Information
internet down nih,Information,Information
apakah ada promo khusus untukku,Information,Information
masalah teknis,Problem,Information
i want to buy promo,Information,Information
apakah remot tv iptv bisa beli diluar biznet,Information,Information
mau ganti paket ke biznet home yang lebih tinggi,Request,Information
internet saya down loss merah,Information,Information
untuk change package bagaimana,Information,Information
pembayaran lewat uob bisa atau tidak,Information,Information
paket termahal apa ya,Information,Information
anda kenal spv saya nggak,Information,Information
cek  overage,Information,Information
tagihan di bayarin teman,Information,Information
oi putus nih inetnya,Problem,Problem
apakah layanan biznet home mempunyai sla apabila internetnya down,Information,Information
kalo nomor telepon home care berapa ya saya mau call,Information,Information
berbicara dengan cs,Information,Information
apakah perkantoran bisa menggunakan layanan home,Information,Information
mau beli promo,Information,Information
bagaimana cara cek ip address saya,Information,Information
nomer va bsi,Information,Information
langsung aja kirim teknisi,Information,Information
internet saya sangat lambat apakah dapat dibantu dioptimalkan,Problem,Information
mau ganti paket,Request,Request
sudah restart masih lambat,Problem,Information
kalo beli modem beraps,Information,Information
masa aktifku sampai kapan,Information,Information
apakah bisa memanggil teknisi biznet untuk memasangkan router tambahan,Information,Information
harga modem,Information,Information
mau promo,Information,Information
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan,Request,Information
sebutkan nama merk modem biznet,Information,Information
kalo harga paket d berapa min,Information,Information
apakah berarti paket saya gratis,Information,Information
harga mesh wifi berapa,Information,Information
saya ingin tau dulu harganya,Request,Information
apakah dapat menchandise jika pemasangan biznet,Information,Information
perbedaan jenis ip layanan biznet apa saja,Information,Information
bisa gak aku config modem manual,Information,Information
apakah ganti paket akan mengakumulasikan masa aktif yang sedang berjalan,Request,Information
kenapa sih jaringan saya suka terputus sambung,Problem,Information
hallo siang saya mau berhenti berlangganan karena mau pindah alamat,Information,Information
apakah biznet melakukan pemblokiran ip tertentu,Information,Information
apakah biznet home memiliki promo,Information,Information
mau tanya paket,Information,Information
mau beli add on,Request,Information
apakah bisa membeli router tambahan dari biznet,Information,Information
apakah jika saya pindah ke malaysia jaringan biznet saya bisa ikut dipindah,Information,Information
cara download aplikasi my biznet dimana,Information,Information
internet saya tidak stabil apakah ada kendala,Information,Information
kenapa vpn kantor saya tidak ada koneksi,Information,Information
kalo internet lambat gmn ceknya,Problem,Information
